Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
12,Entry short,2025-10-09 11:32,short,25221.5,1,25221.5,115,0.02,475,0.09,-285,-0.06,1855,1.86
13,Exit short,2025-10-10 11:16,Time Exit,25062.25,1,25065.5,65,0.01,1695,0.34,-720,-0.14,1920,1.92
13,Entry short,2025-10-10 11:07,short,25065.5,1,25065.5,65,0.01,1695,0.34,-720,-0.14,1920,1.92
14,Exit short,2025-10-10 11:39,Time Exit,24734,1,24822.25,1765,0.36,3030,0.61,-40,-0.01,3685,3.69
14,Entry short,2025-10-10 11:30,short,24822.25,1,24822.25,1765,0.36,3030,0.61,-40,-0.01,3685,3.69
15,Exit short,2025-10-10 13:00,Time Exit,24657.25,1,24677.5,405,0.08,600,0.12,-545,-0.11,4090,4.09
15,Entry short,2025-10-10 12:51,short,24677.5,1,24677.5,405,0.08,600,0.12,-545,-0.11,4090,4.09
16,Exit long,2025-10-13 10:06,Time Exit,24909,1,24863.75,905,0.18,965,0.19,-50,-0.01,4995,5.00
16,Entry long,2025-10-13 09:57,long,24863.75,1,24863.75,905,0.18,965,0.19,-50,-0.01,4995,5.00
17,Exit short,2025-10-13 11:06,Time Exit,24764.5,1,24754.75,-195,-0.04,215,0.04,-490,-0.10,4800,4.80
17,Entry short,2025-10-13 10:57,short,24754.75,1,24754.75,-195,-0.04,215,0.04,-490,-0.10,4800,4.80
18,Exit short,2025-10-13 11:34,Time Exit,24883.5,1,24866.25,-345,-0.07,80,0.02,-640,-0.13,4455,4.46
18,Entry short,2025-10-13 11:25,short,24866.25,1,24866.25,-345,-0.07,80,0.02,-640,-0.13,4455,4.46
19,Exit long,2025-10-14 12:33,Time Exit,24882.5,1,24851.75,615,0.12,705,0.14,-135,-0.03,5070,5.07
19,Entry long,2025-10-14 12:24,long,24851.75,1,24851.75,615,0.12,705,0.14,-135,-0.03,5070,5.07
20,Exit long,2025-10-15 10:13,Time Exit,25087,1,25038,980,0.20,1450,0.29,-65,-0.01,6050,6.05
